Portfolio,Scenario,Bond,Yield Shift (bps),Actual Price Change,Actual % Change,Duration-based Approx,Duration+Convexity Approx,Duration Error (%),Convexity Error (%)
balanced,COVID_Crisis_2020,806605AH4 Corp,-27.37866340290357,1.207367793950766,1.8574519142588442,1.1912445009375767,1.2071996111566015,-1.3354085717683843,-0.01392970683890031
balanced,COVID_Crisis_2020,771367BZ1 Corp,5.069327910694477,-0.18171557675694316,-0.24675547708292103,-0.182018032863595,-0.1817151838519321,0.16644478808571717,-0.00021621977491758038
balanced,COVID_Crisis_2020,92976GAJ0 Corp,-10.49300172412504,0.9816879616667507,0.8904599283615718,0.9758780799309285,0.9816618044425572,-0.5918257086455394,-0.002664515122402223
balanced,COVID_Crisis_2020,EG6454136 Corp,25.459414158262305,-0.38736082582748566,-0.42845370810747135,-0.388656933447824,-0.3873569437912531,0.33459956038909294,-0.0010021757425353287
balanced,COVID_Crisis_2020,136375BQ4 Corp,20.757795236488462,-0.8910887260200511,-1.408835602781761,-0.9004455988466651,-0.8910120833063013,1.0500495128476655,-0.008601019349897715
balanced,COVID_Crisis_2020,670346AH8 Corp,70.87061826383773,-2.972191040789056,-4.687369170771664,-3.0792809368063483,-2.9691870771180997,3.6030623384445013,-0.10106899690266762
balanced,COVID_Crisis_2020,472319AE2 Corp,145.46655591349656,-2.174260383775149,-2.412991523457201,-2.2159105632681917,-2.173546887899468,1.9156021883968655,-0.032815567123651794
balanced,COVID_Crisis_2020,72650RAR3 Corp,144.66441418158172,-5.863299294850215,-8.844574014349357,-6.271392469896674,-5.841295761360332,6.960128666890514,-0.3752756320866827
balanced,Inflation_Hike_2022,806605AH4 Corp,303.60480310321543,-11.455007603154648,-17.62273758413408,-13.209832300162082,-11.247861229153415,15.319280072098465,-1.8083477652532185
balanced,Inflation_Hike_2022,771367BZ1 Corp,329.58064376034434,-10.654556820154596,-14.468051105937363,-11.83384099509886,-10.553726583410219,11.068355022646106,-0.9463578677776872
balanced,Inflation_Hike_2022,92976GAJ0 Corp,307.5765033817171,-24.227188750084167,-21.975761750377494,-28.605462520978232,-23.635942769517154,18.07173674196456,-2.4404233882272415
balanced,Inflation_Hike_2022,EG6454136 Corp,440.73766706834493,-6.357859223060203,-7.032327943658939,-6.728188994173717,-6.338602922358495,5.824755756942743,-0.3028739710351579
balanced,Inflation_Hike_2022,136375BQ4 Corp,323.3601712506279,-12.001171305003709,-18.974179468175226,-14.026934928672507,-11.737732624260323,16.87971592259654,-2.1951080777719514
balanced,Inflation_Hike_2022,670346AH8 Corp,343.59518223865626,-12.655644570587114,-19.95890485581476,-14.928980733696566,-12.341216023922467,17.963021562670107,-2.4844925512163023
balanced,Inflation_Hike_2022,472319AE2 Corp,480.700763343061,-6.8848022471607635,-7.640745141220419,-7.322575918387729,-6.859963867426565,6.358551132060472,-0.3607711426198452
balanced,Inflation_Hike_2022,72650RAR3 Corp,364.65236379766424,-13.405996983025005,-20.222459504438085,-15.80815918958633,-13.075403797617794,17.918564427569247,-2.4660096957042192
balanced,Parallel_Up_100bps,806605AH4 Corp,100.00000000154607,-4.146017963917004,-6.378362121478971,-4.350995822643629,-4.138145004592069,4.943969382442566,-0.1898920697752319
balanced,Parallel_Up_100bps,771367BZ1 Corp,100.00000000003895,-3.4756815427148524,-4.719702474422776,-3.590575241338653,-3.4727263797718684,3.3056451579869743,-0.08502398469670382
balanced,Parallel_Up_100bps,92976GAJ0 Corp,100.00000000000023,-8.796759123932247,-7.979278350333691,-9.300275608334605,-8.774974750321176,5.723886232516053,-0.2476409016566702
balanced,Parallel_Up_100bps,EG6454136 Corp,99.99999999904891,-1.5067519155937674,-1.66659456091127,-1.5265745355652547,-1.5065185926468616,1.3155861802024484,-0.015485160130947365
balanced,Parallel_Up_100bps,136375BQ4 Corp,99.99999999999982,-4.12728693473597,-6.52535331977839,-4.337867237768307,-4.1189342912503175,5.1021483691879155,-0.2023761278954309
balanced,Parallel_Up_100bps,670346AH8 Corp,100.00000000000175,-4.134098712039986,-6.519785096518762,-4.344933079803014,-4.125738074138672,5.099887120474471,-0.20223604910459692
balanced,Parallel_Up_100bps,472319AE2 Corp,99.99999999898785,-1.5035255276526271,-1.668610797768412,-1.523312729397045,-1.5032925798017442,1.3160535940690359,-0.015493441687457872
balanced,Parallel_Up_100bps,72650RAR3 Corp,100.00000000021741,-4.136982415172298,-6.240487706160646,-4.335131418040723,-4.129616811662102,4.789698939539071,-0.17804290110546428
balanced,Parallel_Up_200bps,806605AH4 Corp,200.00000000001518,-7.911670858408897,-12.171558869274238,-8.701991645153377,-7.850588372973334,9.989303155912893,-0.7720554422539124
balanced,Parallel_Up_200bps,771367BZ1 Corp,200.00000000000546,-6.732901340561966,-9.142751062363876,-7.181150482674704,-6.709755036407908,6.657592610369732,-0.34377904833707434
balanced,Parallel_Up_200bps,92976GAJ0 Corp,200.00000000000128,-16.6677987123513,-15.118864065671195,-18.600551216669288,-16.49934778461556,11.595727412317295,-1.0106369211845225
balanced,Parallel_Up_200bps,EG6454136 Corp,199.99999999909951,-2.974771664095286,-3.2903480818741615,-3.053149071145801,-2.972925299471425,2.634736910953871,-0.062067440205446134
balanced,Parallel_Up_200bps,136375BQ4 Corp,200.00000000008427,-7.864746201607382,-12.434378454270531,-8.675734475540287,-7.800002689467585,10.3116903348662,-0.8232117156757606
balanced,Parallel_Up_200bps,670346AH8 Corp,200.0000000000815,-7.877891928334698,-12.424029023970053,-8.689866159609418,-7.813086136951366,10.306998860371042,-0.8226285911620932
balanced,Parallel_Up_200bps,472319AE2 Corp,199.99999999950086,-2.96838825457624,-3.294313666418306,-3.0466254588173234,-2.9665448604348996,2.6356796190817775,-0.062100843395354675
balanced,Parallel_Up_200bps,72650RAR3 Corp,199.99999999999963,-7.905403594987511,-11.92501417599163,-8.67026283606258,-7.848204410551673,9.67514475238221,-0.7235454047166732
balanced,Parallel_Down_100bps,806605AH4 Corp,-99.99999999999982,4.572235507192715,7.034068357486502,4.350995822576351,4.563846640621329,-4.838763975922188,-0.18347406992027201
balanced,Parallel_Down_100bps,771367BZ1 Corp,-99.99999999785888,3.711510324138814,5.039939432138234,3.590575241260376,3.708424102822022,-3.258379266572533,-0.08315270731486507
balanced,Parallel_Down_100bps,92976GAJ0 Corp,-99.99999999999343,9.84895496419125,8.933693876575454,9.300275608333973,9.82557646634733,-5.570939839324697,-0.23737033958343132
balanced,Parallel_Down_100bps,EG6454136 Corp,-99.99999999998788,1.5468690191671044,1.710967457287174,1.5265745355795888,1.5466304784983584,-1.3119716883620163,-0.015420870532037455
balanced,Parallel_Down_100bps,136375BQ4 Corp,-100.00000000000009,4.565718003038519,7.218524808042033,4.337867237768319,4.55680018428631,-4.990469519110988,-0.1953212779736846
balanced,Parallel_Down_100bps,670346AH8 Corp,-99.99999999999953,4.5730543495371165,7.212051204014407,4.344933079802918,4.56412808546725,-4.988378713611587,-0.19519260843181757
balanced,Parallel_Down_100bps,472319AE2 Corp,-99.99999999998802,1.5435710367735282,1.7130532549747037,1.5233127294122808,1.5433328790079819,-1.312431166342216,-0.015429012327426009
balanced,Parallel_Down_100bps,72650RAR3 Corp,-100.00000000000078,4.548478758195515,6.861214992877793,4.335131418031332,4.540646024409063,-4.690520754434006,-0.17220557032037426
balanced,Bull_Steepener_100bps,806605AH4 Corp,33.2425537766784,-1.42315598747264,-2.189427137666209,-1.4463821261409768,-1.4228606765242375,1.6320163687456153,-0.02075042728991038
balanced,Bull_Steepener_100bps,771367BZ1 Corp,21.275953499204913,-0.7586234452648313,-1.0301510388016868,-0.7639291187008789,-0.7585944990987221,0.6993816852305976,-0.0038156171272891756
balanced,Bull_Steepener_100bps,92976GAJ0 Corp,36.28258116991537,-3.306291846432174,-2.999038916314908,-3.374380046619836,-3.3052280918393997,2.0593523908403926,-0.032173644741077576
